County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,,Street Address
New York,625215,Store,A,DUANE READE ETAL PTRS,DUANE READE 14317,1915,3RD AVE,,,NEW YORK,NY,10029,15000,-73.944854,40.791333,,1915 3RD AVE
New York,625204,Store,JAC,1623 ST NICHOLAS AVE CORP,CARNICERIA LA FLOR,1623,ST NICHOLAS AVE,,,NEW YORK,NY,10040,2800,-73.929057,40.85571,,1623 ST NICHOLAS AVE
New York,625203,Store,A,ABHI & FATHER INC,ABHI & FATHER MARKET,50,LEXINGTON AVE,,,NEW YORK,NY,10010,250,-73.984128,40.740327,,50 LEXINGTON AVE
New York,625200,Store,A,DYCKMAN DEALS INC,99 CENT USA,116A,DYCKMAN ST,,,NEW YORK,NY,10040,6000,-73.925103,40.862142,,116A DYCKMAN ST
New York,625186,Store,JAC,BLUE AND WHITE MARKETS INC,MORTON WILLIAMS UNIVERS,2941,BROADWAY,,,NEW YORK,NY,10025,4000,-73.964316,40.80762,,2941 BROADWAY
New York,625184,Store,A,CVS ALBANY LLC,CVS PHARMACY 02360,743,AMSTERDAM AVE,,,NEW YORK,NY,10025,10000,-73.970183,40.794303,,743 AMSTERDAM AVE
New York,625183,Store,A,CVS ALBANY LLC,CVS PHARMACY 02400,1223,2ND AVE,,,NEW YORK,NY,10065,6000,-73.961983,40.763847,,1223 2ND AVE
New York,625182,Store,A,CVS ALBANY LLC,CVS PHARMACY 02427,215,PARK AVE S,,,NEW YORK,NY,10003,5000,-73.988649,40.736964,,215 PARK AVE S
New York,625181,Store,JACDHK,SEA BREEZE FISH MARKET INC,SEA BREEZE FISH MARKET,541,9TH AVE,,,NEW YORK,NY,10018,2200,-73.993435,40.757303,,541 9TH AVE
New York,625178,Store,A,CVS ALBANY LLC,CVS PHARMACY 02435,75,CHRISTOPHER ST,,,NEW YORK,NY,10014,0,-74.003135,40.733564,,75 CHRISTOPHER ST
New York,625176,Store,A,CVS ALBANY LLC,CVS PHARMACY 02716,129,FULTON ST,,,NEW YORK,NY,10038,0,-74.007564,40.71014,,129 FULTON ST
