County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,,Street Address
Kings,751256,Store,A,18 AVE ORGANIC 1 CORP,18 AVE ORGANIC 1,6902,18TH AVE,,,BROOKLYN,NY,11204,0,-73.992615,40.616723,,6902 18TH AVE
Kings,751253,Store,A,KING CENTRAL CONVENIENCE CORP,KING CENTRAL CONVENIENC,427,CENTRAL AVENUE,,,BROOKLYN,NY,11221,0,-73.915361,40.692512,,427 CENTRAL AVENUE
Kings,751243,Store,JAC,WILD SUSHI CORP,WILD SUSHI,72,WYCKOFF AVE,,,BROOKLYN,NY,11237,0,-73.920139,40.704871,,72 WYCKOFF AVE
Bronx,751242,Store,JAC,IGNITE USA INC,PELHAM SUPERMARKET,706,LYDIG AVE,,,BRONX,NY,10462,0,-73.86733,40.854494,,706 LYDIG AVE
Bronx,751235,Store,A,HOBART SMOKE SHOP & GROCERY INC,HOBART SMOKE SHOP & GRO,1823A,HOBART AVENUE,,,BRONX,NY,10461,0,-73.831428,40.847897,,1823A HOBART AVENUE
Kings,751229,Store,JAC,SISTER SEAFOOD CORP,OMEGA SEA WORLD,93,ROCKAWAY PARKWAY,,,BROOKLYN,NY,11212,0,-73.923441,40.664102,,93 ROCKAWAY PARKWAY
Richmond,751227,Store,JAC,NEW SANTINOS GOURMET DELI CORP,NEW SANTINOS GOURMET DE,409,FOREST AVE,,,STATEN ISLAND,NY,10301,0,-74.103015,40.630882,,409 FOREST AVE
Bronx,751226,Store,JAC,Y&J LARA GROCERY CORP,Y&J LARA GROCERY,3945,CARPENTER AVE,,,BRONX,NY,10466,0,-73.863784,40.88791,,3945 CARPENTER AVE
Kings,751223,Store,JAC,ZAHRA HALAL MEAT I CORP,ZAHRA HALAL MEAT,6926,5TH  AVE,,,BROOKLYN,NY,11209,0,-74.021251,40.632887,,6926 5TH  AVE
New York,751216,Store,JAC,HAMS CATERING INC,HAMS CATERING,1446,2ND AVE,,,NEW YORK,NY,10075,20,-73.956272,40.771653,,1446 2ND AVE
New York,751215,Store,JAC,JINGRI INC,JINGRI,1507,YORK AVE,,,NEW YORK,NY,10075,20,-73.950044,40.771923,,1507 YORK AVE
Kings,751213,Store,A,URBAN MARKET CORP,URBAN MARKET,1212,AVENUE M,,,BROOKLYN,NY,11230,1500,-73.962115,40.617771,,1212 AVENUE M
Kings,751212,Store,JAC,SHLOMS HEIMISH CORPORATION,SHLOMIES BAKE SHOP,744,BEDFORD AVENUE,,,BROOKLYN,NY,11205,0,-73.956925,40.69843,,744 BEDFORD AVENUE
Bronx,751211,Store,JAC,JORDAN DELICATE DELI CORP,JORDAN DELICATE DELI,211,ST ANNS AVENUE,,,BRONX,NY,10454,1000,,,,211 ST ANNS AVENUE
Kings,751209,Store,JAC,ONE MART NOSTRAND AVE CORP,ONE MART NOSTRAND AVE,3600,NOSTRAND AVE,,,BROOKLYN,NY,11229,0,-73.941071,40.596164,,3600 NOSTRAND AVE
Bronx,751208,Store,JAC,BUENA VISTA DELI CORP,BUENA VISTA DELI,650,PROSPECT AVE,,,BRONX,NY,10455,0,-73.903405,40.815271,,650 PROSPECT AVE
Bronx,751207,Store,JAC,MI CHAPINCITA QUETZAL CORP,MI CHAPINCITA QUETZAL,1093,SOUTHERN BLVD,,,BRONX,NY,10459,0,-73.892004,40.825872,,1093 SOUTHERN BLVD
New York,751206,Store,JAC,ALBARONCIO INC,VIA DELLA SCROFA,60,E 4TH STREET,,,NEW YORK,NY,10004,0,-73.990639,40.726701,,60 E 4TH STREET
Kings,751203,Store,JAC,KHALED DELI GROCERY CORP,KHALED DELI GROCERY,1502,NEPTUNE AVE,,,BROOKLYN,NY,11224,0,-73.98327,40.579147,,1502 NEPTUNE AVE
New York,751202,Store,JAC,CITI DELI CORP,CITI DELI,606,9TH AVE,,,NEW YORK,NY,10036,0,-73.992,40.759288,,606 9TH AVE
Richmond,751201,Store,JAC,GRAND CENTRAL SI LLC,MATAMOROS DELI MARKET,533,PORT RICHMOND AVE,,,STATEN ISLAND,NY,10302,0,-74.140327,40.629882,,533 PORT RICHMOND AVE
Kings,751200,Store,JAC,MANNYS DELI & GRILL CORP,MANNYS DELI & GRILL,92,MANHATTAN AVE,,,BROOKLYN,NY,11206,0,-73.944603,40.705379,,92 MANHATTAN AVE
New York,751199,Store,JAC,1185 CAFE LLC,SIMON SIPS,1185,6TH AVE,,,NEW YORK,NY,10036,0,-73.981978,40.757773,,1185 6TH AVE
Kings,751193,Store,JAC,SAM NATURAL DELI CORP,SAM NATURAL DELI,281,NOSTRAN AVE,,,BROOKLYN,NY,11216,0,-73.95129,40.688979,,281 NOSTRAN AVE
Bronx,751191,Store,JAC,SIDEBAR CAFE CORP 1,SIDEBAR CAFE,191,E 161ST STREET,,,BRONX,NY,10451,0,-73.921306,40.826531,,191 E 161ST STREET
New York,751189,Store,JAC,AL AMIN GROCERY STORE LLC,AL-AMIN GROCERY STORE,2407,2ND AVE,,,NEW YORK,NY,10035,0,-73.9343,40.801765,,2407 2ND AVE
New York,751184,Store,A,GETIR INC,GETIR,120,RIVERSIDE BLVD (WEST 66TH ST),,,NEW YORK,NY,10069,0,,,,120 RIVERSIDE BLVD (WEST 66TH ST)
Kings,751183,Store,A,301 CONVENIENCE CORP,301 CONVENIENCE,301,HALSEY ST,,,BROOKLYN,NY,11216,1200,-73.940778,40.682848,,301 HALSEY ST
Kings,751181,Store,JAC,CONTINENTAL GLATT MEAT CORP,CONTINENTAL MEAT,744,BEDFORD AVE,,,BROOKLYN,NY,11205,800,-73.956925,40.69843,,744 BEDFORD AVE
Kings,751180,Store,JAC,DELI & MORE INC,CRISPIES DELI,744,BEDFORD AVE,,,BROOKLYN,NY,11205,0,-73.956925,40.69843,,744 BEDFORD AVE
Kings,751179,Store,JAC,OCEAN FRESH FISH INC,OCEAN FRESH,744,BEDFORD AVE,,,BROOKLYN,NY,11205,500,-73.956925,40.69843,,744 BEDFORD AVE
Kings,751178,Store,JAC,HATZLACHA SUPERMARKET INC,HATZLACHA SUPERMARKET,744,BEDFORD AVE,,,BROOKLYN,NY,11205,10000,-73.956925,40.69843,,744 BEDFORD AVE
Kings,751172,Store,JAC,D&J GROCERY SPANISH FOOD INC,D&J GROCERY SPANISH FOO,927,GRAND STREET,,,BROOKLYN,NY,11211,0,-73.937104,40.712821,,927 GRAND STREET
New York,751170,Store,JAC,2421 GARY UPTOWN WHOLE FOODS LLC,UPTOWN WHOLE FOODS,2421,BROADWAY,,,NEW YORK,NY,10024,2300,-73.974973,40.790464,,2421 BROADWAY
New York,751162,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,2101,FREDERICK DOUGLASS BLVD,,,NEW YORK,NY,10026,0,-73.956585,40.802757,,2101 FREDERICK DOUGLASS BLVD
Kings,751161,Store,JAC,GOURMET DELI & GRILL ZONE INC,GOURMET DELI & GRILL ZO,629,CHURCH AVE,,,BROOKLYN,NY,11218,0,-73.973165,40.645422,,629 CHURCH AVE
New York,751155,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,1198,THIRD AVE,,,NEW YORK,NY,10021,0,-73.961586,40.768371,,1198 THIRD AVE
Kings,751153,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,1084,ROGERS AVE,,,BROOKLYN,NY,11226,0,-73.951719,40.64362,,1084 ROGERS AVE
Kings,751151,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,3344,NOSTRAND AVE,,,BROOKLYN,NY,11229,0,-73.942264,40.602404,,3344 NOSTRAND AVE
New York,751150,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,2,SOUTH END AVE,,,NEW YORK,NY,10280,0,-74.017647,40.707971,,2 SOUTH END AVE
Kings,751148,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,885,GRAND ST,,,BROOKLYN,NY,11211,0,-73.938651,40.712445,,885 GRAND ST
Kings,751147,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,1941,CONEY ISLAND AVE,,,BROOKLYN,NY,11223,0,-73.962296,40.60983,,1941 CONEY ISLAND AVE
Kings,751146,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,4924,4TH AVE,,,BROOKLYN,NY,11220,0,-74.012532,40.646616,,4924 4TH AVE
Richmond,751141,Store,JAC,ARIANA FOOD MARKET INC,ARIANA FOOD MARKET,900,HYLAN BLVD,,,STATEN ISLAND,NY,10305,0,-74.072569,40.598347,,900 HYLAN BLVD
Kings,751136,Store,A,SHANDAR PHARMACY INC,ANAYA PHARMACY,3064,SHORE PARKWAY STORE #4,,,BROOKLYN,NY,11235,0,-73.96163,40.584296,,3064 SHORE PARKWAY STORE #4
New York,751127,Store,JAC,LADERACH SEVENTH AVENUE LLC,LADERACH SEVENTH AVE,745,SEVENTH AVENUE  UNIT B,,,NEW YORK,NY,10017,0,-73.983484,40.760777,,745 SEVENTH AVENUE  UNIT B
Bronx,751125,Store,JAC,TINOS SEAFOOD LTD,TINOS SEAFOOD,540,WEST 235TH STREET,,,BRONX,NY,10463,0,-73.909275,40.885527,,540 WEST 235TH STREET
Kings,751120,Store,JAC,ROCOCO DESIGN INC,ROCOCO DESIGN,324,LEWIS AVE,,,BROOKLYN,NY,11221,0,-73.935436,40.684913,,324 LEWIS AVE
Kings,751118,Store,JAC,ALL HALAL MEAT INC,ALL HALAL MEAT,4112,18TH AVE,,,BROOKLYN,NY,11218,500,-73.974858,40.631832,,4112 18TH AVE
Kings,751106,Store,JAC,ROCHESTER GOURMET CORP,ROCHESTER GOURMET,22,ROCHESTER AVE,,,BROOKLYN,NY,11233,0,-73.927445,40.678282,,22 ROCHESTER AVE
Kings,751104,Store,JAC,YDHNY INC,YDHNY,159,N 3RD STREET,,,BROOKLYN,NY,11211,200,-73.95959,40.715242,,159 N 3RD STREET
Kings,751103,Store,JAC,ARIEL DELI GROCERY CORP,ARIEL DELI GROCERY,421,BAINBRIDGE ST,,,BROOKLYN,NY,11233,0,-73.920031,40.68223,,421 BAINBRIDGE ST
Bronx,751094,Store,JAC,CROTONA DELI GROCERY CORP,CROTONA DELI GROCERY,715,E 187TH ST.,,,BRONX,NY,10458,0,-73.88382,40.853965,,715 E 187TH ST.
Bronx,751093,Store,JAC,EMPIDE DELI GROCERY INC,EMPIDE DELI GROCERY,511,EAST 138TH STREET,,,BRONX,NY,10454,0,-73.919067,40.807491,,511 EAST 138TH STREET
Bronx,751092,Store,JAC,TEAM RD DELI GROCERY CORP,TEAM RD DELI GROCERY,306,EAST 178TH STREET,,,BRONX,NY,10457,0,-73.902251,40.849952,,306 EAST 178TH STREET
Kings,751091,Store,JAC,CANETE DELI GROCERY INC,CANETE DELI GROCERY,3,SOMERS ST,,,BROOKLYN,NY,11233,0,-73.912989,40.678503,,3 SOMERS ST
Bronx,751090,Store,JAC,LONGWOOD FISH MARKET #1 INC,LONGWOOD FISH MARKET #1,410,E 148TH STREET,,,BRONX,NY,10455,0,-73.917606,40.815111,,410 E 148TH STREET
Kings,751089,Store,JAC,ABC FOOD MARKET CORP,ABC FOOD MARKET,3202,CHURCH AVE,,,BROOKLYN,NY,11226,0,-73.947513,40.650908,,3202 CHURCH AVE
Kings,751087,Store,JAC,MY DELI & GRILL 2 INC,MY DELI & GRILL 2,1887,MONTROSE AVE,,,BROOKLYN,NY,11206,0,,,,1887 MONTROSE AVE
Kings,751086,Store,JAC,1918 BROOKLYN GRILL CORP,1918 BROOKLYN GRILL,1918,KINGS HWY,,,BROOKLYN,NY,11229,0,-73.954173,40.610454,,1918 KINGS HWY
Kings,751085,Store,JAC,CARNICERIA PRIME RIBS INC,CARNICERIA PRIME RIBS,7214,3RD AVENUE,,,BROOKLYN,NY,11209,0,-74.027108,40.633132,,7214 3RD AVENUE
Bronx,751084,Store,JAC,LOYALTY DELI CORP,LOYALTY DELI,1512,BOONE AVE,,,BRONX,NY,10460,0,-73.885664,40.832088,,1512 BOONE AVE
Bronx,751083,Store,JAC,784 DELI GROCERY INC,784 DELI GROCERY,784,E 163RD STREET,,,BRONX,NY,10456,0,-73.902838,40.822645,,784 E 163RD STREET
Kings,751081,Store,A,SS CONVENIENCE AND PHONE REPAIR I,SS CONVENIENCE & PHONE,568,PINE ST,,,BROOKLYN,NY,11208,0,-73.870028,40.671609,,568 PINE ST
Richmond,751078,Store,A,RAJA ENTERPRISES INC,REHMAT-E-MEDINA GROCERY,1814,HYLAN BLVD,,,STATEN ISLAND,NY,10305,1000,-74.093696,40.584943,,1814 HYLAN BLVD
New York,751077,Store,JAC,JOSEPH CONVINIANCE CORP,JOSEPH CONVINIANCE,11,AVE D,,,NEW YORK,NY,10009,0,-73.978423,40.720413,,11 AVE D
Kings,751073,Store,JAC,HERMANOS DELI AND GROCERY CORP,HERMANOS DELI AND GROCE,3142,FULTON ST,,,BROOKLYN,NY,11208,0,-73.878919,40.681732,,3142 FULTON ST
Kings,751072,Store,JAC,FANTASY DELI GROCERY CORP,FANTASY DELI GROCERY,49,KINGSLAND AVE,,,BROOKLYN,NY,11211,0,-73.940323,40.71779,,49 KINGSLAND AVE
New York,751071,Store,JAC,SOLAR MERIDIAN CORP,WESTSIDE MARKET PLACE,790,11TH AVENUE STORE #4,,,NEW YORK,NY,10019,0,-73.992487,40.768848,,790 11TH AVENUE STORE #4
Kings,751070,Store,JAC,GARDEN GOURMET DELI CORP,GARDEN GOURMET DELI,570,ALBANY AVE,,,BROOKLYN,NY,11203,0,-73.939801,40.66067,,570 ALBANY AVE
Kings,751069,Store,JAC,M A M ENTERPRISE 1 INC,M A M ENTERPRISE 1,317,BUSHWICH AVE,,,BROOKLYN,NY,11206,0,-73.939474,40.705428,,317 BUSHWICH AVE
Bronx,751068,Store,JAC,RH DELI GROCERY CORP,RH DELI GROCERY,1971,GRAND AVENUE,,,BRONX,NY,10453,0,-73.910755,40.852249,,1971 GRAND AVENUE
Bronx,751064,Store,JAC,MTB HALAL INC,MTB HALAL,1104,WEBSTER AVE,,,BRONX,NY,10456,0,-73.910988,40.829781,,1104 WEBSTER AVE
Kings,751057,Store,JAC,GOURMET DELI GROCERY 3 CORP,GOURMET DELI GROCERY 3,1098,CLARKSON AVE,,,BROOKLYN,NY,11212,0,-73.921903,40.659952,,1098 CLARKSON AVE
New York,751056,Store,JAC,ZOA 73 MARKETPLACE INC,DAONA MARKETPLACE,1359,FIRST AVENUE,,,NEW YORK,NY,10021,0,-73.955612,40.76834,,1359 FIRST AVENUE
Bronx,751051,Store,JAC,N&R DELI GROCERY CORP,N&R DELI GROCERY,2258,MORRIS AVENUE,,,BRONX,NY,10453,0,-73.902347,40.857396,,2258 MORRIS AVENUE
Bronx,751050,Store,JAC,AB FOOD MARKET CORP,BX FUTURE DELI,917,OGDEN AVENUE,,,BRONX,NY,10452,0,-73.930399,40.831145,,917 OGDEN AVENUE
Kings,751049,Store,JAC,SARA DELI MINIMART INC,SARA DELI MINIMART,4511,AVE L,,,BROOKLYN,NY,11234,0,-73.931629,40.623302,,4511 AVE L
Kings,751048,Store,JAC,95 SMOKESHOP DELI & JUICE BAR INC,95 SMOKESHOP DELI & JUI,9504,4TH AVENUE,,,BROOKLYN,NY,11209,0,-74.031168,40.615906,,9504 4TH AVENUE
Kings,751047,Store,JAC,511 CHURCH DELI GRILL CORP,511 CHURCH DELI GRILL,511,CHURCH AVENUE,,,BROOKLYN,NY,11218,0,-73.975273,40.644545,,511 CHURCH AVENUE
Kings,751046,Store,JAC,SAINTILUS FENOL,LETERNEL MON BERGER VAR,2123,CATON AVENUE,,,BROOKLYN,NY,11226,0,-73.959791,40.652812,,2123 CATON AVENUE
Kings,751045,Store,JAC,AGUILAR MARTINEZ RUFINO,ATLIXCO DE LAS FLORES,404,B 50TH ST,,,BROOKLYN,NY,11220,0,-74.012209,40.646246,,404 B 50TH ST
Bronx,751044,Store,JAC,M&A FRUITS & DELI CORP,M&A FRUITS & DELI,1976,ARTHUR AVENUE STORE 76,,,BRONX,NY,10457,0,-73.893125,40.846868,,1976 ARTHUR AVENUE STORE 76
Bronx,751043,Store,JAC,150 J&J DELI GROCERY CORP,150 J&J DELI GROCERY,150,EAST 174TH STREET,,,BRONX,NY,10468,0,-73.908504,40.845218,,150 EAST 174TH STREET
Kings,751041,Store,A,GREAT CITY TRADING INC,GREAT CITY TRADING,6814,20TH AVE,,,BROOKLYN,NY,11204,0,-73.987951,40.614518,,6814 20TH AVE
New York,751039,Store,A,GETIR US INC,GETIR,350,LEXINGTON AVE,,,NEW YORK,NY,10016,0,-73.977093,40.750021,,350 LEXINGTON AVE
Bronx,751038,Store,JAC,4028 GOURMET LLC,4028 GOURMET,4028,BOSTON RD,,,BRONX,NY,10475,1300,-73.83112,40.884745,,4028 BOSTON RD
New York,751037,Store,JAC,MARO GROUP LLC,MARO GROUP,35,CRISTOPHER ST,,,NEW YORK,NY,10014,0,-74.001414,40.733817,,35 CRISTOPHER ST
Kings,751036,Store,JAC,KATS NEW YORK DELI CORP,KATS NEW YORK DELI,416,LEWIS AVE,,,BROOKLYN,NY,11233,0,-73.934701,40.681194,,416 LEWIS AVE
Kings,751034,Store,JAC,369 FLATBUSH FOOD LLC,369 FLATBUSH FOOD,369,FLATBUSH AVENUE,,,BROOKLYN,NY,11238,0,-73.972032,40.676587,,369 FLATBUSH AVENUE
Bronx,751032,Store,JAC,CARIBBEAN DELI GROCERY CORP,CARIBBEAN DELI GROCERY,646,EAST 241ST ST.,,,BRONX,NY,10470,1300,-73.852038,40.904195,,646 EAST 241ST ST.
Kings,751031,Store,JAC,612 SUPERMARKET CORP,612 SUPERMARKET,612,NOSTRAND AVE,,,BROOKLYN,NY,11216,0,-73.949775,40.67754,,612 NOSTRAND AVE
Richmond,751030,Store,JAC,TAKE FIVE GOURMET DELI INC,TAKE FIVE GOURMET DELI,714,CASTLETON,,,STATEN ISLAND,NY,10310,0,-74.10641,40.634708,,714 CASTLETON
Kings,751029,Store,JAC,5D4 DELI GROCERY CORP,5D4 DELI GROCERY,545,MARCY AVE,,,BROOKLYN,NY,11206,0,,,,545 MARCY AVE
Kings,751028,Store,JAC,OLIVE & GARLIC GOURMET DELI MARKE,OLIVE & GARLIC GOURMET,141,MONTAGUE ST,,,BROOKLYN,NY,11201,0,-73.993727,40.694634,,141 MONTAGUE ST
Bronx,751027,Store,JAC,FISH HOUSE & GROCERY LLC,FISH HOUSE & GROCERY,3766,WHITE PLAINS ROAD,,,BRONX,NY,10467,0,-73.862906,40.883443,,3766 WHITE PLAINS ROAD
Kings,751026,Store,JAC,DELI MINI MARKET AND FOOD INC,DELI MINI MARKET & FOOD,1763,PITKIN AVE #A,,,BROOKLYN,NY,11212,0,-73.908138,40.670073,,1763 PITKIN AVE #A
Bronx,751025,Store,JAC,MEDINA DELI GROCERY INC,MEDINA DELI GROCERY,1888,WALTON AVENUE,,,BRONX,NY,10452,0,-73.909307,40.849525,,1888 WALTON AVENUE
Kings,751024,Store,JAC,ORQUIDEA ORGANIC CORP,ORQUIDEA ORGANIC,1610,AVENUE H,,,BROOKLYN,NY,11230,0,-73.960929,40.630106,,1610 AVENUE H
Kings,751023,Store,JAC,ARAMCO MINI MARKET CORP,ARAMCO MINI MARKET,168,LIBERTY AVE,,,BROOKLYN,NY,11212,0,-73.904087,40.673275,,168 LIBERTY AVE
Bronx,751020,Store,JAC,B DELI GROCERY PLUS INC THE,B DELI GROCERY PLUS,1738,E GUN HILL RD,,,BRONX,NY,10462,0,-73.835483,40.864845,,1738 E GUN HILL RD
Kings,751019,Store,JAC,BROOKLYN TASTE DELI CORP,BROOKLYN TASTE DELI,222,HOYT ST,,,BROOKLYN,NY,11217,0,-73.989828,40.683561,,222 HOYT ST
Bronx,751012,Store,JAC,ARTHUR AVENUE 187 DELI INC,MANY'S DELICATSSEN,2143,WILLIAMSBRIDGE RD,,,BRONX,NY,10461,1200,-73.855933,40.856578,,2143 WILLIAMSBRIDGE RD
Bronx,750994,Store,JAC,CA FOOD MART INC,CA FOOD MART,3706,3RD AVENUE,,,BRONX,NY,10456,0,-73.903253,40.835428,,3706 3RD AVENUE
New York,750991,Store,A,CENTRAL PARK GROCERY CORP,CENTRAL PARK GROCERY,19,W 103RD ST (A),,,NEW YORK,NY,10025,1000,-73.962629,40.796603,,19 W 103RD ST (A)
Kings,750989,Store,JAC,BIEN CUIT LLC,BIEN CUIT,120,SMITH STREET,,,BROOKLYN,NY,11201,0,-73.98983,40.687607,,120 SMITH STREET
Kings,750987,Store,A,WEST 6 SNACKS INC,WEST 6 SNACKS,1313,WEST 6TH STREET,,,BROOKLYN,NY,11204,0,-73.980671,40.613159,,1313 WEST 6TH STREET
Kings,750981,Store,A,DOLLAR FOOD ZONE INC,DOLLAR FOOD ZONE,5912,FLATLANDS AVE,,,BROOKLYN,NY,11234,0,-73.919249,40.631584,,5912 FLATLANDS AVE
Bronx,750978,Store,JAC,949 INTERPRISE INC,949 INTERPRISE,949,OGDEN AVE,,,BRONX,NY,10452,900,-73.93019,40.831508,,949 OGDEN AVE
New York,750977,Store,JAC,122 DC MEAT MARKET INC,122 DC MEAT MARKET,79,ELIZABETH ST,,,NEW YORK,NY,10013,0,-73.99611,40.717976,,79 ELIZABETH ST
Kings,750971,Store,A,HEALTH PLUS DRUGS INC.,HEALTH PLUS DRUGS,1231,FULTON STREET,,,BROOKLYN,NY,11216,0,-73.95227,40.680536,,1231 FULTON STREET
New York,750957,Store,JAC,ONALIM INC,MILANO MARKET,1582,3RD AVE,,,NEW YORK,NY,10128,2200,-73.952637,40.780626,,1582 3RD AVE
New York,750956,Store,A,THIRD AVE GROCERY STORE CORP,THIRD AVE GROCERY STORE,2223,3RD AVE,,,NEW YORK,NY,10035,1650,-73.937558,40.801311,,2223 3RD AVE
Bronx,750941,Store,JAC,KAESAR GOURMET DELI CORP,KAESAR GOURMET DELI,3917,BAY CHESTER AVE,,,BRONX,NY,10466,900,-73.842134,40.888922,,3917 BAY CHESTER AVE
Kings,750939,Store,A,KINGS HWY RX CORP,KINGS RX PHARMACY,1214,KINGS HWY,,,BROOKLYN,NY,11229,1100,-73.960526,40.607838,,1214 KINGS HWY
Kings,750932,Store,JAC,BROOKLYN DONUTS LLC,BROOKLYN DONUTS,1547,62ND STREET,,,BROOKLYN,NY,11219,0,-73.994093,40.624302,,1547 62ND STREET
Bronx,750929,Store,A,LOVE & PEACE CONVENIENCE CORP,LOVE & PEACE CONVENIENC,2513B,WEBSTER AVE,,,BRONX,NY,10458,0,-73.891869,40.86133,,2513B WEBSTER AVE
Bronx,750926,Store,JAC,EDDIES PACE AFRICAN MKET,EDDIES PACE AFRICAN MKE,1221,E 233RD ST,,,BRONX,NY,10466,0,-73.842668,40.888698,,1221 E 233RD ST
New York,750925,Store,A,SR MANGO HOUSE INC,SR MANGO HOUSE,3580,BROADWAY,,,NEW YORK,NY,10031,0,-73.949262,40.827884,,3580 BROADWAY
Kings,750922,Store,A,W 10TH CONVENIENCE STORE INC.,W 10TH CONVENIENCE STOR,97,QUENTIN RD,,,BROOKLYN,NY,11223,0,-73.982916,40.605547,,97 QUENTIN RD
New York,750921,Store,JAC,DONGWEI GROCERY INC,DONGWEI GROCERY,95,CANAL STREET STORE B,,,NEW YORK,NY,10002,2000,-73.993809,40.715481,,95 CANAL STREET STORE B
Bronx,750909,Store,JAC,NEW A&N GOURMET DELI CORP,NEW A&N GOURMET DELI,1736,ZEREGA AVE,,,BRONX,NY,10462,1500,-73.852112,40.840528,,1736 ZEREGA AVE
Kings,750905,Store,JAC,MH DILSHAD HALAL MEAT & GROCERY S,MH DILSHAD HALAL MEAT &,5912,FT HAMILTON PKWY,,,BROOKLYN,NY,11219,800,-74.005256,40.633301,,5912 FT HAMILTON PKWY
New York,750899,Store,A,METRO RUN LLC,METRORUN,1458,LEXINGTON AVENUE,,,NEW YORK,NY,10128,0,-73.951675,40.784849,,1458 LEXINGTON AVENUE
New York,750898,Store,A,METRORUN LLC,METRORUN,113,WEST 25TH STREET,,,NEW YORK,NY,10001,0,-73.992339,40.744375,,113 WEST 25TH STREET
New York,750897,Store,A,METRORUN LLC,METRORUN,92,LAIGHT STREET,,,NEW YORK,NY,10013,0,-74.011048,40.722243,,92 LAIGHT STREET
Kings,750896,Store,JAC,158 DELI CORP,158 DELI,158,NOSTRAND AVE,,,BROOKLYN,NY,11205,0,-73.952466,40.69482,,158 NOSTRAND AVE
Kings,750890,Store,A,BUYK CORP,BUYK,6002,FT HAMILTON PKWY,,,BROOKLYN,NY,11219,0,-74.00595,40.632832,,6002 FT HAMILTON PKWY
Kings,750887,Store,A,BUYK CORP,BUYK,958,NOSTRAND AVE,,,BROOKLYN,NY,11225,0,-73.950963,40.665015,,958 NOSTRAND AVE
Kings,750885,Store,A,BUYK CORP,BUYK,22,MARCY AVE,,,BROOKLYN,NY,11211,0,-73.954714,40.713476,,22 MARCY AVE
Bronx,750881,Store,A,1048 CANDY GROCERY CORP,1048 CANDY GROCERY,1048,WESTCHESTER AVE,,,BRONX,NY,10459,600,-73.891615,40.824822,,1048 WESTCHESTER AVE
Kings,750869,Store,A,38 ORGANIC & SMOKE SHOP CORP,38 ORGANIC & SMOKE SHOP,38,AVE O,,,BROOKLYN,NY,11204,0,-73.983689,40.610246,,38 AVE O
Kings,750866,Store,A,CITY STAR DELI CORP,CITY STAR DELI,1104,BUSHWICK AVE,,,BROOKLYN,NY,11221,0,-73.919021,40.689993,,1104 BUSHWICK AVE
Kings,750865,Store,JAC,INTERNATIONAL FOOD NOBATI INC,INTERNATIONAL FOOD NOBA,1323,E 18TH ST,,,BROOKLYN,NY,11230,800,-73.957106,40.617953,,1323 E 18TH ST
Richmond,750861,Store,A,BUYK CORP,BUYK,1368,FOREST AVE,,,STATEN ISLAND,NY,10302,0,-74.135109,40.625525,,1368 FOREST AVE
Kings,750860,Store,A,BUYK CORP,BUYK,83,GARDNER AVE,,,BROOKLYN,NY,11237,0,-73.924408,40.709602,,83 GARDNER AVE
Kings,750859,Store,A,BUYK CORP,BUYK,1805,CHURCH AVE,,,BROOKLYN,NY,11226,0,-73.962801,40.64955,,1805 CHURCH AVE
Kings,750858,Store,A,BUYK CORP,BUYK,5216,5TH AVE,,,BROOKLYN,NY,11220,0,-74.011874,40.643601,,5216 5TH AVE
Bronx,750854,Store,A,BUYK CORP,BUYK,610,EXTERIOR ST,,,BRONX,NY,10451,0,-73.931059,40.824072,,610 EXTERIOR ST
Bronx,750853,Store,A,BUYK CORP,BUYK,190,W 231ST ST,,,BRONX,NY,10463,0,-73.904286,40.878728,,190 W 231ST ST
Kings,750852,Store,A,BUYK CORP,BUYK,524,VANDALIA AVE,,,BROOKLYN,NY,11239,0,-73.873093,40.65571,,524 VANDALIA AVE
Bronx,750839,Store,JAC,RIVER CITY DELI INC,RIVER CITY DELI,2430,E TREMONT AVE,,,BRONX,NY,10461,1600,-73.852105,40.842611,,2430 E TREMONT AVE
Kings,750838,Store,JAC,7 JS LUCKY SOL CORP,7 JS LUCKY SOL,1206,AVENUE U,,,BROOKLYN,NY,11229,350,-73.95986,40.598457,,1206 AVENUE U
New York,750836,Store,A,MAST BROTHERS INC,MAST BROTHERS,353,COLUMBUS AVE,,,NEW YORK,NY,10024,0,-73.976597,40.78042,,353 COLUMBUS AVE
Kings,750835,Store,JAC,TROY DELI GOURMET CORP,TROY DELI GOURMET,73,TROY AVE,,,BROOKLYN,NY,11213,0,-73.935918,40.677023,,73 TROY AVE
Bronx,750830,Store,JAC,HEALTHY CHOICE GOURMET III INC,HEALTHY CHOICE GOURMET,4407,3RD AVE,,,BRONX,NY,10457,0,-73.893352,40.851492,,4407 3RD AVE
